layer_start,layer_end,page_start,page_end,semantic_class,pin,k_precision_name,v_precision_name,residency_tier,promotion_priority,demotion_priority,recompute_priority,authority,case,budget_pct,kv_layout,range_ordinal,used_pages,prompt_pages,recent_start_page,plan_validation_ok,shadowed_layer_page_matches
0,31,1,73,prefill_payload,0,int8,int4,warm,25,75,50,hard,routing_table,25.0,tmh_fidelity_paged_kv,2,99,83,74,True,0
32,47,1,73,late_layer_payload,0,int8,int8,warm,35,65,50,hard,routing_table,25.0,tmh_fidelity_paged_kv,3,99,83,74,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,structured_records,25.0,tmh_fidelity_paged_kv,0,104,84,78,True,0
0,47,78,103,recent_tail,0,raw,raw,hot,100,0,0,hard,structured_records,25.0,tmh_fidelity_paged_kv,1,104,84,78,True,0
0,31,1,77,prefill_payload,0,int8,int4,warm,25,75,50,hard,structured_records,25.0,tmh_fidelity_paged_kv,2,104,84,78,True,0
32,47,1,77,late_layer_payload,0,int8,int8,warm,35,65,50,hard,structured_records,25.0,tmh_fidelity_paged_kv,3,104,84,78,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,0,172,156,129,True,0
0,47,129,171,recent_tail,0,raw,raw,hot,100,0,0,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,1,172,156,129,True,0
0,31,1,128,prefill_payload,0,int8,int4,warm,25,75,50,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,2,172,156,129,True,0
32,47,1,128,late_layer_payload,0,int8,int8,warm,35,65,50,hard,instruction_persistence,25.0,tmh_fidelity_paged_kv,3,172,156,129,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,0,100,80,75,True,0
0,47,75,99,recent_tail,0,raw,raw,hot,100,0,0,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,1,100,80,75,True,0
0,31,1,74,prefill_payload,0,int8,int4,warm,25,75,50,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,2,100,80,75,True,0
32,47,1,74,late_layer_payload,0,int8,int8,warm,35,65,50,hard,multi_hop_bridge,25.0,tmh_fidelity_paged_kv,3,100,80,75,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,payload_dense,25.0,tmh_fidelity_paged_kv,0,178,154,133,True,0
0,47,133,177,recent_tail,0,raw,raw,hot,100,0,0,hard,payload_dense,25.0,tmh_fidelity_paged_kv,1,178,154,133,True,0
0,31,1,132,prefill_payload,0,int8,int4,warm,25,75,50,hard,payload_dense,25.0,tmh_fidelity_paged_kv,2,178,154,133,True,0
32,47,1,132,late_layer_payload,0,int8,int8,warm,35,65,50,hard,payload_dense,25.0,tmh_fidelity_paged_kv,3,178,154,133,True,0
0,47,0,0,prompt_anchor,1,raw,raw,pinned,100,0,0,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,0,93,45,69,True,0
0,47,69,92,recent_tail,0,raw,raw,hot,100,0,0,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,1,93,45,69,True,0
0,31,1,68,prefill_payload,0,int8,int4,warm,25,75,50,hard,long_generation_systems,25.0,tmh_fidelity_paged_kv,2,93,45,69,True,0
